name	type	units	sampling_frequency
FP1	EEG	uV	2400
AF7	EEG	uV	2400
FPZ	EEG	uV	2400
FP2	EEG	uV	2400
AF8	EEG	uV	2400
F9	EEG	uV	2400
F7	EEG	uV	2400
F5	EEG	uV	2400
AF3	EEG	uV	2400
AF4	EEG	uV	2400
F8	EEG	uV	2400
FT8	EEG	uV	2400
T8	EEG	uV	2400
FC6	EEG	uV	2400
F6	EEG	uV	2400
F4	EEG	uV	2400
F2	EEG	uV	2400
FZ	EEG	uV	2400
F1	EEG	uV	2400
F3	EEG	uV	2400
FT7	EEG	uV	2400
FC5	EEG	uV	2400
T7	EEG	uV	2400
FC3	EEG	uV	2400
FC1	EEG	uV	2400
FCZ	EEG	uV	2400
FC2	EEG	uV	2400
FC4	EEG	uV	2400
C4	EEG	uV	2400
C6	EEG	uV	2400
TP8	EEG	uV	2400
TP10	EEG	uV	2400
CP6	EEG	uV	2400
C2	EEG	uV	2400
CZ	EEG	uV	2400
C1	EEG	uV	2400
C3	EEG	uV	2400
C5	EEG	uV	2400
TP7	EEG	uV	2400
CP5	EEG	uV	2400
CP3	EEG	uV	2400
CP1	EEG	uV	2400
CPZ	EEG	uV	2400
CP2	EEG	uV	2400
CP4	EEG	uV	2400
P4	EEG	uV	2400
P6	EEG	uV	2400
P8	EEG	uV	2400
PO8	EEG	uV	2400
PO4	EEG	uV	2400
P2	EEG	uV	2400
PZ	EEG	uV	2400
P1	EEG	uV	2400
P3	EEG	uV	2400
P5	EEG	uV	2400
P7	EEG	uV	2400
PO7	EEG	uV	2400
PO3	EEG	uV	2400
POZ	EEG	uV	2400
O2	EEG	uV	2400
OZ	EEG	uV	2400
O1	EEG	uV	2400
TP9	EEG	uV	2400
A1	REF	uV	2400
